Timestamp;Latitude;Longitude
1477236832;-8.61957;-36.61305
1477236893;-8.61963;-36.61297
1477236954;-8.61957;-36.61310
1477237015;-8.61956;-36.61319
1477237076;-8.61952;-36.61320
1477237136;-8.61950;-36.61320
1477237197;-8.61952;-36.61319
1477237258;-8.61953;-36.61318
1477237319;-8.61957;-36.61297
1477237380;-8.61959;-36.61298
1477237441;-8.61960;-36.61298
1477237502;-8.61960;-36.61298
1477237563;-8.61961;-36.61299
1477237624;-8.61959;-36.61298
1477237685;-8.61960;-36.61298
1477237746;-8.61960;-36.61297
1477237807;-8.61959;-36.61299
1477237868;-8.61956;-36.61298
1477237929;-8.61956;-36.61299
1477237990;-8.61956;-36.61298
1477238051;-8.61956;-36.61298
1477238112;-8.61956;-36.61298
1477238173;-8.61957;-36.61298
1477238234;-8.61956;-36.61297
1477238295;-8.61956;-36.61296
1477238356;-8.61957;-36.61298
1477238417;-8.61956;-36.61296
1477238478;-8.61957;-36.61295
1477238539;-8.61956;-36.61300
1477238600;-8.61960;-36.61295
1477238661;-8.61956;-36.61296
1477238722;-8.61959;-36.61296
1477238783;-8.61957;-36.61297
1477238844;-8.61957;-36.61298
1477238905;-8.61957;-36.61295
1477238966;-8.61958;-36.61299
1477239027;-8.61960;-36.61302
1477239088;-8.61959;-36.61302
1477239149;-8.61956;-36.61301
1477239210;-8.61956;-36.61303
1477239271;-8.61957;-36.61298
1477239332;-8.61963;-36.61301
1477239393;-8.61963;-36.61301
1477239454;-8.61965;-36.61302
1477239515;-8.61967;-36.61303
1477239576;-8.61966;-36.61307
1477239637;-8.61967;-36.61308
1477239698;-8.61969;-36.61309
1477239759;-8.61968;-36.61311
1477239820;-8.61968;-36.61313
1477239881;-8.61968;-36.61313
1477239942;-8.61970;-36.61312
1477240003;-8.61971;-36.61311
1477240064;-8.61970;-36.61309
1477240125;-8.61967;-36.61312
1477240186;-8.61970;-36.61314
1477240247;-8.61964;-36.61307
1477240308;-8.61961;-36.61308
1477240369;-8.61963;-36.61307
1477240430;-8.61960;-36.61306
1477240491;-8.61955;-36.61302
1477240552;-8.61954;-36.61301
1477240613;-8.61955;-36.61300
1477240674;-8.61956;-36.61293
1477240735;-8.61957;-36.61293
1477240735;-8.61957;-36.61293
1477240856;-8.61963;-36.61294
1477240917;-8.61963;-36.61296
1477240978;-8.61956;-36.61303
1477241039;-8.61956;-36.61304
1477241100;-8.61955;-36.61303
1477241161;-8.61955;-36.61303
1477241222;-8.61955;-36.61303
1477241283;-8.61955;-36.61303
1477241344;-8.61954;-36.61302
1477241405;-8.61954;-36.61304
1477241466;-8.61954;-36.61304
1477241527;-8.61954;-36.61304
1477241588;-8.61954;-36.61304
1477241649;-8.61954;-36.61303
1477241710;-8.61954;-36.61304
1477241771;-8.61953;-36.61304
1477241832;-8.61953;-36.61304
1477241893;-8.61953;-36.61304
1477241954;-8.61953;-36.61303
1477242015;-8.61953;-36.61304
1477242076;-8.61953;-36.61303
1477242137;-8.61953;-36.61303
1477242198;-8.61954;-36.61304
1477242259;-8.61954;-36.61304
1477242320;-8.61955;-36.61303
1477242381;-8.61955;-36.61304
1477242442;-8.61954;-36.61303
1477242503;-8.61955;-36.61302
1477242564;-8.61955;-36.61302
1477242625;-8.61954;-36.61302
1477242686;-8.61955;-36.61302
1477242747;-8.61954;-36.61303
1477242808;-8.61954;-36.61304
1477242869;-8.61953;-36.61304
1477242930;-8.61954;-36.61303
1477242991;-8.61954;-36.61303
1477243052;-8.61954;-36.61303
1477243113;-8.61954;-36.61303
1477243174;-8.61955;-36.61303
1477243235;-8.61955;-36.61303
1477243296;-8.61955;-36.61304
1477243357;-8.61955;-36.61304
1477243418;-8.61955;-36.61304
1477243479;-8.61956;-36.61305
1477243540;-8.61956;-36.61305
1477243601;-8.61956;-36.61305
1477243662;-8.61956;-36.61306
1477243723;-8.61957;-36.61306
1477243784;-8.61955;-36.61303
1477243845;-8.61954;-36.61303
1477243906;-8.61954;-36.61303
1477243967;-8.61954;-36.61302
1477244028;-8.61953;-36.61302
1477244089;-8.61953;-36.61303
1477244150;-8.61953;-36.61303
1477244211;-8.61953;-36.61303
1477244272;-8.61954;-36.61303
1477244333;-8.61954;-36.61304
1477244394;-8.61954;-36.61303
1477244455;-8.61954;-36.61303
1477244516;-8.61954;-36.61303
1477244577;-8.61954;-36.61304
1477244638;-8.61954;-36.61303
1477244699;-8.61954;-36.61303
1477244760;-8.61954;-36.61304
1477244821;-8.61954;-36.61305
1477244882;-8.61954;-36.61304
1477244943;-8.61954;-36.61303
1477245004;-8.61954;-36.61303
1477245065;-8.61954;-36.61303
1477245126;-8.61953;-36.61303
1477245187;-8.61952;-36.61303
1477245248;-8.61952;-36.61304
1477245309;-8.61953;-36.61304
1477245370;-8.61951;-36.61304
1477245431;-8.61953;-36.61305
1477245492;-8.61953;-36.61305
1477245553;-8.61953;-36.61305
1477245614;-8.61954;-36.61305
1477245675;-8.61953;-36.61305
1477245736;-8.61952;-36.61305
1477245797;-8.61952;-36.61306
1477245858;-8.61952;-36.61306
1477245919;-8.61953;-36.61306
1477245980;-8.61953;-36.61305
1477246041;-8.61953;-36.61304
1477246102;-8.61953;-36.61304
1477246163;-8.61954;-36.61306
1477246224;-8.61954;-36.61307
1477246285;-8.61955;-36.61303
1477246346;-8.61954;-36.61301
1477246407;-8.61957;-36.61297
1477246468;-8.61958;-36.61298
1477246529;-8.61959;-36.61300
1477246590;-8.61959;-36.61300
1477246651;-8.61956;-36.61305
1477246712;-8.61955;-36.61306
1477246773;-8.61952;-36.61305
1477246834;-8.61952;-36.61303
1477246895;-8.61951;-36.61302
1477246956;-8.61952;-36.61302
1477247017;-8.61953;-36.61299
1477247078;-8.61951;-36.61298
1477247139;-8.61951;-36.61299
1477247200;-8.61952;-36.61298
1477247261;-8.61954;-36.61298
1477247322;-8.61954;-36.61295
1477247383;-8.61955;-36.61294
1477247444;-8.61959;-36.61295
1477247505;-8.61961;-36.61296
1477247566;-8.61965;-36.61299
1477247627;-8.61968;-36.61305
1477247688;-8.61970;-36.61307
1477247749;-8.61972;-36.61311
1477247810;-8.61972;-36.61311
1477247871;-8.61972;-36.61312
1477247932;-8.61973;-36.61313
1477247993;-8.61974;-36.61315
1477247993;8.61974;0.00000
1477248114;-8.61978;-36.61323
1477248175;-8.61979;-36.61326
1477248236;-8.61979;-36.61327
1477248297;-8.61980;-36.61329
1477248358;-8.61978;-36.61332
1477248419;-8.61974;-36.61329
1477248480;-8.61976;-36.61325
1477248541;-8.61977;-36.61325
1477248602;-8.61977;-36.61327
1477248663;-8.61976;-36.61330
1477248724;-8.61974;-36.61330
1477248785;-8.61973;-36.61330
1477248846;-8.61971;-36.61330
1477248907;-8.61972;-36.61331
1477248968;-8.61968;-36.61330
1477249029;-8.61969;-36.61330
1477249090;-8.61971;-36.61331
1477249151;-8.61967;-36.61330
1477249212;-8.61967;-36.61331
1477249273;-8.61966;-36.61332
1477249334;-8.61966;-36.61332
1477249395;-8.61964;-36.61332
1477249456;-8.61963;-36.61334
1477249517;-8.61960;-36.61334
1477249578;-8.61959;-36.61333
1477249639;-8.61956;-36.61330
1477249700;-8.61955;-36.61329
1477249761;-8.61955;-36.61328
1477249822;-8.61956;-36.61327
1477249883;-8.61954;-36.61328
1477249944;-8.61953;-36.61325
1477250005;-8.61955;-36.61327
1477250066;-8.61955;-36.61328
1477250127;-8.61954;-36.61328
1477250188;-8.61954;-36.61328
1477250249;-8.61955;-36.61328
1477250310;-8.61953;-36.61329
1477250371;-8.61950;-36.61330
