timestamp_abrigo;tbs;ur;tgn;tpo
1476587169;22274;66062;26769;15652
1476588069;22250;66347;26695;15696
1476588969;22178;66565;26695;15679
1476589869;22106;66927;26598;15696
1476590769;22058;67292;26573;15735
1476591669;22034;67689;26524;15805
1476592569;22011;67827;26573;15814
1476593469;21987;68052;26524;15843
1476594369;21939;68385;26524;15874
1476595269;21915;68722;26475;15928
1476596169;21891;69057;26524;15981
1476597069;21891;69284;26524;16032
1476597969;21795;69295;26402;15944
1476598869;21700;69419;26280;15880
1476599769;21652;69692;26256;15896
1476600669;21604;69936;26207;15905
1476601569;21604;70245;26256;15974
1476602469;21604;70441;26231;16018
1476603369;21509;70480;26256;15935
1476604269;21461;70527;26158;15899
1476605169;21390;70681;26207;15865
1476606069;21318;70891;26182;15843
1476606969;21294;71054;26109;15856
1476607869;21437;72080;26182;16218
1476608769;21581;71580;26256;16247
1476609669;21604;71390;26207;16228
1476610569;21652;71371;26231;16269
1476611469;21724;71357;26280;16335
1476612369;21772;71338;26280;16377
1476613269;21819;71458;26426;16449
1476614169;22011;71717;26500;16690
1476615069;22274;71599;26769;16917
1476615969;22561;71262;26965;17118
1476616869;22872;70788;27112;17311
1476617769;23184;69915;27161;17413
1476618669;23400;69216;27407;17461
1476619569;23713;69102;27530;17733
1476620469;24653;65712;28122;17830
1476621369;26036;59438;28941;17541
1476622269;26598;57426;29140;17520
1476623169;26916;55631;29414;17313
1476624069;27284;54833;29715;17426
1476624969;29040;59803;30874;20456
1476625869;31382;50823;32304;19993
1476626769;31919;47257;32717;19310
1476627669;32098;46978;32717;19378
1476628569;33600;40166;33783;18218
1476629469;35075;33963;34704;16857
1476630369;39403;32459;37453;19892
1476631269;40631;33074;38365;21260
1476632169;42031;26857;39065;19084
1476633069;41385;25646;38812;17803
1476633969;40171;26049;37866;17031
1476634869;39149;27506;37398;17028
1476635769;39431;29896;37535;18594
1476636669;39829;30112;37838;19049
1476637569;39886;27858;37728;17854
1476638469;38700;26804;36851;16240
1476639369;37866;28004;36335;16222
1476640269;36960;28526;35904;15740
1476641169;36579;29781;35662;16089
1476642069;36688;29277;35716;15914
1476642969;36119;29708;35155;15657
1476643869;35797;29683;35288;15366
1476644769;35368;29868;34836;15096
1476645669;34466;28739;34308;13726
1476646569;28122;47461;30217;15921
1476647469;25065;55242;28320;15481
1476648369;24171;56915;27850;15113
1476649269;23328;57713;27382;14543
1476650169;22848;59738;26989;14628
1476651069;22345;62708;26769;14908
1476651969;21891;65765;26524;15218
1476652869;21509;68904;26134;15581
1476653769;21127;70911;25987;15664
1476654669;20698;73966;25768;15912
1476655569;20365;76082;25453;16031
1476656469;19960;79653;25258;16359
1476657369;19627;80971;25137;16292
1476658269;19413;81967;25186;16275
1476659169;19389;82341;25331;16323
1476660069;19436;82149;25307;16333
1476660969;19484;81246;25186;16206
1476661869;19294;82722;25380;16303
1476662769;19222;83058;25453;16297
1476663669;18842;84266;25841;16151
1476664569;18771;84718;26109;16165
1476665469;19032;82186;25234;15945
1476666369;18818;82742;25210;15841
1476667269;18771;83156;25501;15873
1476668169;18723;83594;25744;15909
1476669069;18557;83953;25817;15813
1476669969;18438;84173;25866;15737
1476670869;18105;85397;26500;15636
1476671769;17986;86097;27063;15647
1476672669;18010;86176;27112;15685
1476673569;17867;85900;26720;15495
1476674469;17748;86186;27087;15430
1476675369;17605;86466;27161;15340
1476676269;17867;86214;27136;15552
1476677169;17701;86537;27481;15446
1476678069;17534;86953;27751;15357
1476678969;17558;87245;28023;15433
1476679869;17249;87695;28419;15209
1476680769;17296;88486;29890;15395
1476681669;17082;88833;29966;15245
1476682569;17011;89026;30469;15209
1476683469;16915;89073;30394;15123
1476684369;16773;89340;30748;15028
1476685269;16939;89707;31306;15257
1476686169;16915;89747;31510;15240
1476687069;17082;89881;31893;15428
1476687969;17153;89899;31944;15502
1476688869;17011;89863;32073;15355
1476689769;17320;89731;32587;15637
1476690669;17344;88568;30874;15457
1476691569;17153;88168;30976;15199
1476692469;17106;88440;31331;15200
1476693369;17701;87637;30192;15644
1476694269;18366;85165;26695;15851
1476695169;18818;83391;25453;15964
1476696069;19008;83559;25720;16182
1476696969;19698;80243;24726;16220
1476697869;21485;72613;26036;16380
1476698769;23016;65986;27136;16340
1476699669;25113;59022;28419;16564
1476700569;24339;59544;27899;15977
1476701469;26475;51221;29265;15605
1476702369;26695;51955;29389;16031
1476703269;27628;49332;29941;16076
1476704169;27825;47754;30192;15747
1476705069;26818;50234;29439;15616
1476705969;29140;44658;30874;15891
1476706869;30192;42957;31714;16231
1476707769;30217;43027;31663;16279
1476708669;29515;44265;31306;16091
1476709569;30318;42563;31765;16200
1476710469;29916;44411;31433;16505
1476711369;31970;38716;32768;16187
1476712269;32536;38215;33079;16484
1476713169;32355;38336;32872;16374
1476714069;30849;40502;32098;15896
1476714969;31996;37463;32794;15694
1476715869;33391;35095;33730;15900
1476716769;33105;35918;33574;16012
1476717669;32820;35467;33443;15564
1476718569;33783;32416;34019;15002
1476719469;34413;32542;34413;15609
1476720369;35102;31047;34783;15470
1476721269;34995;30639;34704;15172
1476722169;33626;32833;33835;15065
1476723069;36498;29225;35636;15724
1476723969;34863;31931;34466;15703
1476724869;32330;35280;33105;15052
1476725769;31612;36130;32484;14791
1476726669;35368;31032;35075;15693
1476727569;33783;34134;33940;15808
1476728469;33574;34472;33626;15779
1476729369;29715;42701;31204;15708
1476730269;30243;42555;31663;16129
1476731169;30419;43929;31637;16788
1476732069;28221;49179;30369;16569
1476732969;27284;51391;29740;16402
1476733869;26916;53357;29439;16653
1476734769;24823;59405;28221;16394
1476735669;23545;62874;27456;16082
1476736569;22848;66335;26965;16263
1476737469;22369;67805;26793;16151
1476738369;21891;69256;26378;16026
1476739269;21485;70755;26134;15973
1476740169;21103;72540;25963;15997
1476741069;20746;74030;25647;15971
1476741969;20365;75306;25331;15871
1476742869;20103;77224;25186;16011
1476743769;19770;79042;24944;16053
1476744669;19888;79249;25186;16209
1476745569;19960;78639;25186;16158
1476746469;19936;79051;25186;16217
1476747369;19888;79767;25210;16312
1476748269;19793;80057;25258;16276
1476749169;19722;80042;25089;16204
1476750069;19484;80863;25210;16132
1476750969;19674;80725;25283;16291
1476751869;19389;80689;25137;16005
1476752769;18842;81967;25453;15718
1476753669;19222;82405;25817;16173
1476754569;19341;81926;25574;16198
1476755469;19199;81742;25428;16023
1476756369;19199;82097;25598;16091
1476757269;19199;83352;26622;16329
1476758169;18985;84150;27456;16269
1476759069;18771;83853;26867;16004
1476759969;18675;84573;27998;16045
1476760869;18438;86107;29040;16093
1476761769;18604;86364;28742;16304
1476762669;18628;86490;28816;16350
1476763569;18699;85608;27481;16259
1476764469;18319;85520;28245;15869
1476765369;18057;86042;29040;15707
1476766269;17867;86624;30343;15626
1476767169;17772;87225;31535;15640
