data_pasto;tbs;ur;tgn;tpo
10/15/2016 23:59:7;22369;66863;22369;16104
10/16/2016 00:14:7;22321;67093;22321;16110
10/16/2016 00:29:7;22274;67144;22274;16076
10/16/2016 00:44:7;22202;67340;22202;16050
10/16/2016 00:59:7;22154;67600;22154;16062
10/16/2016 01:14:7;22130;67922;22130;16110
10/16/2016 01:29:7;22106;68096;22106;16125
10/16/2016 01:44:7;22082;68181;22058;16120
10/16/2016 01:59:7;22058;68385;22034;16142
10/16/2016 02:14:7;22034;68677;22034;16182
10/16/2016 02:29:7;22034;69091;22011;16271
10/16/2016 02:44:7;21987;69290;22011;16268
10/16/2016 02:59:7;21939;69310;21939;16226
10/16/2016 03:14:7;21819;69348;21843;16120
10/16/2016 03:29:7;21748;69482;21748;16080
10/16/2016 03:44:7;21724;69684;21724;16100
10/16/2016 03:59:7;21700;69916;21724;16126
10/16/2016 04:14:7;21700;70151;21724;16176
10/16/2016 04:29:7;21652;70201;21676;16140
10/16/2016 04:44:7;21581;70276;21581;16087
10/16/2016 04:59:7;21509;70322;21509;16028
10/16/2016 05:14:7;21437;70455;21437;15987
10/16/2016 05:29:7;21390;70593;21413;15970
10/16/2016 05:44:7;21390;70681;21390;15988
10/16/2016 05:59:7;21390;70887;21413;16031
10/16/2016 06:14:7;21461;71047;21461;16133
10/16/2016 06:29:7;21557;71241;21557;16265
10/16/2016 06:44:7;21724;71301;21700;16439
10/16/2016 06:59:7;21819;71202;21795;16510
10/16/2016 07:14:7;21891;71098;21891;16558
10/16/2016 07:29:7;22058;71100;22034;16719
10/16/2016 07:44:7;22321;70973;22298;16946
10/16/2016 07:59:7;22609;70615;22561;17147
10/16/2016 08:14:7;22896;70048;22848;17303
10/16/2016 08:29:7;23232;69547;23256;17519
10/16/2016 08:44:7;23448;68814;23424;17567
10/16/2016 08:59:7;23665;68675;23785;17744
10/16/2016 09:14:7;24026;67604;24146;17853
10/16/2016 09:29:7;26329;56553;;17309
10/16/2016 09:44:7;27579;53992;;17757
10/16/2016 09:59:7;27850;52154;;17470
10/16/2016 10:14:7;28345;51485;;17726
10/16/2016 10:29:7;29941;54516;;20102
10/16/2016 10:44:7;34124;40528;;19169
10/16/2016 10:59:7;33495;40663;;18662
10/16/2016 11:14:7;33157;41732;;18776
10/16/2016 11:29:7;33548;41808;;19155
10/16/2016 11:44:7;35529;34966;;18020
10/16/2016 11:59:7;37838;34040;;19599
10/16/2016 12:14:7;37288;32712;;18466
10/16/2016 12:29:7;41443;30617;;20951
10/16/2016 12:44:7;41972;27193;;19409
10/16/2016 12:59:7;41443;25197;;17691
10/16/2016 13:14:7;40314;27779;;18364
10/16/2016 13:29:7;38896;31668;;19323
10/16/2016 13:44:7;39290;31072;;19348
10/16/2016 13:59:7;39772;30131;;19251
10/16/2016 14:14:7;38060;28664;;16965
10/16/2016 14:29:7;37508;32176;;18386
10/16/2016 14:44:7;36933;30774;;17161
10/16/2016 14:59:7;36119;32231;;17212
10/16/2016 15:14:7;36796;33153;;18259
10/16/2016 15:29:7;36498;32263;;17556
10/16/2016 15:44:7;35823;32620;;17150
10/16/2016 15:59:7;35797;32652;;17143
10/16/2016 16:14:7;34916;34327;;17186
10/16/2016 16:29:7;29991;42843;;16348
10/16/2016 16:44:7;27628;49883;36362;16574
10/16/2016 16:59:7;26036;51843;29340;15701
10/16/2016 17:14:7;24798;53821;25744;15126
10/16/2016 17:29:7;23569;55959;24532;14570
10/16/2016 17:44:7;23016;58292;28866;14666
10/16/2016 17:59:7;22537;61098;24702;14919
10/16/2016 18:14:7;22178;63738;21461;15210
10/16/2016 18:29:7;21795;65656;20889;15286
10/16/2016 18:44:7;21461;66822;20531;15228
10/16/2016 18:59:7;21103;68419;19912;15234
10/16/2016 19:14:7;20817;70398;19532;15379
10/16/2016 19:29:7;20507;72064;19246;15423
10/16/2016 19:44:7;20198;72150;18937;15141
10/16/2016 19:59:7;20007;73099;18818;15148
10/16/2016 20:14:7;20007;73937;19199;15314
10/16/2016 20:29:7;20055;73976;19413;15367
10/16/2016 20:44:7;19936;73837;19056;15225
10/16/2016 20:59:7;19865;74600;19175;15305
10/16/2016 21:14:7;19674;75681;18818;15329
10/16/2016 21:29:7;19318;76295;18200;15099
10/16/2016 21:44:7;19413;76770;18937;15281
10/16/2016 21:59:7;19294;76490;18628;15113
10/16/2016 22:14:7;19151;76717;18414;15017
10/16/2016 22:29:7;19127;76797;18485;15009
10/16/2016 22:44:7;19032;77374;18319;15024
10/16/2016 22:59:7;18937;77525;18295;14959
10/16/2016 23:14:7;18699;77900;17796;14797
10/16/2016 23:29:7;18461;78527;17415;14680
10/16/2016 23:44:7;18366;78592;17582;14599
10/16/2016 23:59:7;18390;78850;17891;14669
10/17/2016 00:14:7;18129;78992;17296;14439
10/17/2016 00:29:7;17986;79494;18057;14390
10/17/2016 00:44:7;17986;79970;18461;14475
10/17/2016 00:59:7;18081;80186;18509;14606
10/17/2016 01:14:7;18010;80478;17391;14588
10/17/2016 01:29:7;17796;80655;17011;14410
10/17/2016 01:44:7;17724;80807;16892;14366
10/17/2016 01:59:7;17558;81049;16677;14246
10/17/2016 02:14:7;17605;81170;16820;14313
10/17/2016 02:29:7;17463;81361;16630;14207
10/17/2016 02:44:7;17344;81640;16487;14138
10/17/2016 02:59:7;17225;81752;16368;14041
10/17/2016 03:14:7;17130;81925;16320;13978
10/17/2016 03:29:7;17320;82161;16654;14205
10/17/2016 03:44:7;17344;82276;16701;14248
10/17/2016 03:59:7;17486;82363;16963;14403
10/17/2016 04:14:7;17510;82424;16868;14436
10/17/2016 04:29:7;17510;82479;16963;14446
10/17/2016 04:44:7;17653;82539;17106;14596
10/17/2016 04:59:7;17510;82535;16749;14455
10/17/2016 05:14:7;17344;82580;16654;14300
10/17/2016 05:29:7;17510;82645;18390;14474
10/17/2016 05:44:7;18129;82506;19817;15057
10/17/2016 05:59:7;18794;82265;22729;15669
10/17/2016 06:14:7;18723;81665;19674;15495
10/17/2016 06:29:7;19103;81442;21581;15828
10/17/2016 06:44:7;19746;80826;24798;16348
10/17/2016 06:59:7;20936;77768;27431;16952
10/17/2016 07:14:7;22034;73755;28717;17239
10/17/2016 07:29:7;22920;69460;29916;17201
10/17/2016 07:44:7;23232;65063;28766;16519
10/17/2016 07:59:7;23857;63231;30798;16684
10/17/2016 08:14:7;24050;62654;30343;16728
10/17/2016 08:29:7;24532;60221;30697;16584
10/17/2016 08:44:7;25234;58694;32458;16853
10/17/2016 08:59:7;25890;55549;33157;16624
10/17/2016 09:14:7;26426;54367;33521;16793
10/17/2016 09:29:7;26842;53952;34150;17061
10/17/2016 09:44:7;27284;52586;34889;17074
10/17/2016 09:59:7;27727;50890;36173;16975
10/17/2016 10:14:7;28196;52966;36525;18031
10/17/2016 10:29:7;28369;52416;37563;18028
10/17/2016 10:44:7;28642;50852;38532;17807
10/17/2016 10:59:7;28941;49700;38004;17722
10/17/2016 11:14:7;29315;48714;38812;17751
10/17/2016 11:29:7;29265;47605;38644;17344
10/17/2016 11:44:7;29790;46627;41766;17497
10/17/2016 11:59:7;30369;44698;39743;17357
10/17/2016 12:14:7;30167;45036;37811;17293
10/17/2016 12:29:7;30874;43240;42297;17289
10/17/2016 12:44:7;31382;42834;42564;17598
10/17/2016 12:59:7;31586;41528;42624;17289
10/17/2016 13:14:7;32021;40640;43768;17335
10/17/2016 13:29:7;31586;40861;40978;17032
10/17/2016 13:44:7;31586;40193;42863;16771
10/17/2016 13:59:7;32304;38961;44658;16915
10/17/2016 14:14:7;30925;40690;35342;16374
10/17/2016 14:29:7;30773;41206;38087;16437
10/17/2016 14:44:7;30545;41746;40429;16438
10/17/2016 14:59:7;30167;41970;34045;16182
10/17/2016 15:14:7;30798;42106;37921;16801
10/17/2016 15:29:7;30217;43100;33600;16646
10/17/2016 15:44:7;28493;46892;30243;16404
10/17/2016 15:59:7;29941;46515;36308;17597
10/17/2016 16:14:7;30016;46753;34730;17746
10/17/2016 16:29:7;29140;48335;32330;17469
10/17/2016 16:44:7;28048;50067;29765;17017
10/17/2016 16:59:7;26646;53830;26940;16844
10/17/2016 17:14:7;24629;57640;23400;16009
10/17/2016 17:29:7;23761;60928;22585;16033
10/17/2016 17:44:7;23112;63047;21987;15933
10/17/2016 17:59:7;22633;64539;21604;15828
10/17/2016 18:14:7;22178;65633;21175;15645
10/17/2016 18:29:7;21748;66664;20698;15466
10/17/2016 18:44:7;21437;67917;20436;15445
10/17/2016 18:59:7;21079;69006;20031;15337
10/17/2016 19:14:7;20793;70570;19817;15391
10/17/2016 19:29:7;20460;72142;19460;15393
10/17/2016 19:44:7;20269;73873;19508;15555
10/17/2016 19:59:7;20269;74191;19698;15617
10/17/2016 20:14:7;20198;74494;19579;15607
10/17/2016 20:29:7;20126;74940;19532;15625
10/17/2016 20:44:7;20079;75677;19508;15721
10/17/2016 20:59:7;20007;75319;19508;15583
10/17/2016 21:14:7;19793;75820;19222;15471
10/17/2016 21:29:7;19746;76211;19246;15499
10/17/2016 21:44:7;19793;76392;19294;15580
10/17/2016 21:59:7;19508;76619;18699;15345
10/17/2016 22:14:7;19318;77433;18699;15313
10/17/2016 22:29:7;19460;77775;19056;15515
10/17/2016 22:44:7;19436;77656;18985;15470
10/17/2016 22:59:7;19389;77675;18913;15427
10/17/2016 23:14:7;19318;77887;18794;15397
10/17/2016 23:29:7;19365;78152;18937;15492
10/17/2016 23:44:7;19341;78232;18889;15484
10/17/2016 23:59:7;19127;78442;18461;15314
10/18/2016 00:14:7;19032;78676;18343;15264
10/18/2016 00:29:7;19032;79127;18580;15346
10/18/2016 00:44:7;19056;79470;18509;15431
10/18/2016 00:59:7;19103;79592;18699;15499
10/18/2016 01:14:7;19032;79577;18414;15427
10/18/2016 01:29:7;18747;79685;17938;15168
10/18/2016 01:44:7;18557;80093;17724;15055
10/18/2016 01:59:7;18414;80426;17582;14974
10/18/2016 02:14:7;18366;80667;17510;14970
10/18/2016 02:29:7;18366;80779;17653;14990
10/18/2016 02:44:7;18628;80891;18247;15266
10/18/2016 02:59:7;18580;80965;17938;15232
10/18/2016 03:14:7;18533;81206;17938;15228
10/18/2016 03:29:7;18414;81375;17796;15141
10/18/2016 03:44:7;18509;81479;18081;15253
10/18/2016 03:59:7;18604;81583;18224;15364
10/18/2016 04:14:7;18628;81700;18271;15408
10/18/2016 04:29:7;18628;81784;18271;15422
10/18/2016 04:44:7;18557;81879;18129;15369
10/18/2016 04:59:7;18461;81969;18057;15291
10/18/2016 05:14:7;18390;82093;18129;15243
10/18/2016 05:29:7;18414;82181;18247;15281
10/18/2016 05:44:7;18509;82202;18747;15378
10/18/2016 05:59:7;18628;82145;19080;15485
10/18/2016 06:14:7;18985;82085;20317;15824
10/18/2016 06:29:7;19436;81738;21246;16207
10/18/2016 06:44:7;20198;81120;24267;16844
10/18/2016 06:59:7;20531;80010;25065;16970
10/18/2016 07:14:7;21079;78282;25695;17187
10/18/2016 07:29:7;21795;76225;26475;17493
10/18/2016 07:44:7;22705;74468;29490;18030
10/18/2016 07:59:7;23857;70758;31433;18379
10/18/2016 08:14:7;24363;68053;31663;18276
10/18/2016 08:29:7;25065;66434;32536;18581
10/18/2016 08:44:7;25817;64258;34229;18789
10/18/2016 08:59:7;26451;62712;34995;19015
10/18/2016 09:14:7;26965;60636;35636;18981
10/18/2016 09:29:7;27235;58315;35850;18631
10/18/2016 09:44:7;27825;55167;36471;18321
10/18/2016 09:59:7;28295;54917;37261;18687
10/18/2016 10:14:7;28518;54283;38616;18713
10/18/2016 10:29:7;29040;52923;39177;18800
10/18/2016 10:44:7;29090;52642;38226;18762
10/18/2016 10:59:7;29615;51045;39375;18762
10/18/2016 11:14:7;30268;49872;41152;18996
10/18/2016 11:29:7;31357;43427;45499;17793
10/18/2016 11:44:7;31816;46710;45814;19371
10/18/2016 11:59:7;31612;44843;42893;18534
10/18/2016 12:14:7;31868;43882;41825;18420
10/18/2016 12:29:7;30798;45143;42505;17903
10/18/2016 12:44:7;32098;43013;45593;18309
10/18/2016 12:59:7;32562;40497;45908;17762
10/18/2016 13:14:7;32898;40131;46226;17916
10/18/2016 13:29:7;32381;39942;42149;17380
10/18/2016 13:44:7;31612;41164;42356;17172
10/18/2016 13:59:7;32124;40150;40688;17233
10/18/2016 14:14:7;30369;42886;32304;16704
10/18/2016 14:29:7;29439;43999;31408;16268
10/18/2016 14:44:7;29340;44414;31919;16325
10/18/2016 14:59:7;29790;44237;37673;16670
10/18/2016 15:14:7;31153;42145;40891;17134
10/18/2016 15:29:7;31331;41998;39800;17239
10/18/2016 15:44:7;30016;44131;32794;16837
10/18/2016 15:59:7;30066;46138;35636;17583
10/18/2016 16:14:7;29290;48224;30925;17570
10/18/2016 16:29:7;27677;52608;27456;17445
10/18/2016 16:44:7;26818;55998;26916;17613
10/18/2016 16:59:7;26280;58450;25963;17771
10/18/2016 17:14:7;25040;62726;24002;17683
10/18/2016 17:29:7;24315;64340;23256;17381
10/18/2016 17:44:7;23809;65885;22824;17258
10/18/2016 17:59:7;23472;66907;22585;17168
10/18/2016 18:14:7;22896;67792;21891;16814
10/18/2016 18:29:7;22393;69038;21318;16604
10/18/2016 18:44:7;22011;69884;20865;16418
10/18/2016 18:59:7;21724;71243;20817;16427
10/18/2016 19:14:7;21294;71718;20222;16111
10/18/2016 19:29:7;20913;72345;19960;15871
10/18/2016 19:44:7;20603;73012;19651;15706
10/18/2016 19:59:7;20341;73685;19436;15587
10/18/2016 20:14:7;20198;74321;19294;15574
10/18/2016 20:29:7;20079;75017;19222;15594
10/18/2016 20:44:7;19746;75438;18985;15352
10/18/2016 20:59:7;19532;75824;18842;15218
10/18/2016 21:14:7;19460;76495;18889;15276
10/18/2016 21:29:7;19341;76670;18794;15193
10/18/2016 21:44:7;19175;76665;18343;15030
10/18/2016 21:59:7;18866;77198;17938;14829
10/18/2016 22:14:7;18628;77517;17677;14657
10/18/2016 22:29:7;18485;78166;17605;14637
10/18/2016 22:44:7;18366;78648;17534;14609
10/18/2016 22:59:7;18271;78853;17463;14553
10/18/2016 23:14:7;18176;79254;17391;14533
10/18/2016 23:29:7;18033;79477;17177;14433
10/18/2016 23:44:7;17986;79774;17296;14440
10/18/2016 23:59:7;18200;79904;17867;14672
10/19/2016 00:14:7;18295;79953;17962;14774
10/19/2016 00:29:7;18343;79823;17915;14797
10/19/2016 00:44:7;18319;79846;17843;14778
10/19/2016 00:59:7;18319;79958;17938;14798
10/19/2016 01:14:7;18271;79920;17653;14745
10/19/2016 01:29:7;18105;80024;17415;14601
10/19/2016 01:44:7;18224;80133;17772;14736
10/19/2016 01:59:7;18295;80205;17867;14819
10/19/2016 02:14:7;18295;80288;17748;14834
10/19/2016 02:29:7;18129;80448;17368;14699
10/19/2016 02:44:7;18105;80750;17463;14729
10/19/2016 02:59:7;18200;81022;17724;14870
10/19/2016 03:14:7;18224;81166;17796;14918
10/19/2016 03:29:7;18010;81286;17344;14730
10/19/2016 03:44:7;17724;81418;16915;14473
10/19/2016 03:59:7;17629;81675;16939;14424
10/19/2016 04:14:7;17748;81868;17272;14574
10/19/2016 04:29:7;17796;81989;17296;14642
10/19/2016 04:44:7;17701;82079;17058;14564
10/19/2016 04:59:7;17629;82174;17058;14510
10/19/2016 05:14:7;17748;82366;17296;14660
10/19/2016 05:29:7;17962;82441;17582;14883
10/19/2016 05:44:7;18033;82513;17724;14965
10/19/2016 05:59:7;18200;82522;18295;15130
10/19/2016 06:14:7;18509;82535;19555;15436
10/19/2016 06:29:7;19008;82368;21963;15897
10/19/2016 06:44:7;19222;81858;21079;16018
10/19/2016 06:59:7;19960;81153;24798;16616
10/19/2016 07:14:7;20841;79142;26378;17114
10/19/2016 07:29:7;21843;75600;28965;17419
10/19/2016 07:44:7;22729;71873;29315;17525
10/19/2016 07:59:7;23593;69019;30697;17750
10/19/2016 08:14:7;24050;66498;31077;17627
10/19/2016 08:29:7;24653;65396;32124;17950
10/19/2016 08:44:7;25040;62817;32665;17705
10/19/2016 08:59:7;25550;61337;33209;17823
10/19/2016 09:14:7;26085;59507;34176;17863
10/19/2016 09:29:7;26500;57954;34704;17846
10/19/2016 09:44:7;27063;56222;35475;17904
10/19/2016 09:59:7;27677;54671;36769;18043
10/19/2016 10:14:7;27974;53953;36661;18112
10/19/2016 10:29:7;28642;51557;38504;18022
10/19/2016 10:44:7;29190;53900;39857;19226
10/19/2016 10:59:7;29715;51090;41766;18868
10/19/2016 11:14:7;29966;49412;41502;18572
10/19/2016 11:29:7;30167;48595;41065;18493
10/19/2016 11:44:7;30925;46863;44196;18611
10/19/2016 11:59:7;31510;45589;44812;18704
10/19/2016 12:14:7;31791;44600;45092;18610
10/19/2016 12:29:7;31868;44147;44073;18516
10/19/2016 12:44:7;32253;42732;45311;18343
10/19/2016 12:59:7;31586;42326;43799;17592
10/19/2016 13:14:7;32227;42496;45373;18231
10/19/2016 13:29:7;31484;43077;38032;17779
10/19/2016 13:44:7;32124;40384;45186;17326
10/19/2016 13:59:7;32355;40241;42327;17476
10/19/2016 14:14:7;31484;41250;36987;17091
10/19/2016 14:29:7;30722;42694;34387;16951
10/19/2016 14:44:7;30621;43674;36688;17219
10/19/2016 14:59:7;30016;43605;33157;16648
10/19/2016 15:14:7;30621;43542;38504;17171
10/19/2016 15:29:7;30217;43825;32562;16909
10/19/2016 15:44:7;29065;47027;29865;16971
10/19/2016 15:59:7;28692;49119;29615;17310
10/19/2016 16:14:7;27431;52924;27308;17310
