ts,lat,long,tbs-pasto,ur-pasto,tgn-pasto,tpo-pasto,tbs-sombra,ur-sombra,tgn-sombra,tpo-sombra,posicao,local,classe
1477450800,-8.61973,-36.61312,18.485,82.225,18.200,15.359,18.081,87.919,32.846,16.069,0,0,comendo
1477451400,-8.61972,-36.61313,18.461,82.303,18.200,15.349,18.129,87.859,32.742,16.105,0,0,comendo
1477452000,-8.61974,-36.61312,18.461,82.303,18.200,15.349,18.129,87.859,32.742,16.105,0,0,comendo
1477452600,-8.61972,-36.61312,18.485,82.391,18.247,15.388,18.200,87.662,32.536,16.140,0,0,comendo
1477453200,-8.61970,-36.61312,18.485,82.419,18.271,15.392,18.176,87.345,31.842,16.060,0,0,comendo
1477453800,-8.61967,-36.61312,18.485,82.419,18.271,15.392,18.176,87.345,31.842,16.060,0,0,ocio
1477454400,-8.61966,-36.61313,18.366,82.309,17.891,15.257,17.962,87.366,32.278,15.853,0,0,ocio
1477455000,-8.61971,-36.61313,18.295,82.321,17.891,15.189,17.962,87.652,32.433,15.904,0,1,ocio
1477455600,-8.61969,-36.61314,18.295,82.321,17.891,15.189,17.962,87.652,32.433,15.904,0,0,comendo
1477456200,-8.61972,-36.61314,18.319,82.437,?,15.232,18.010,87.640,32.691,15.949,0,0,comendo
1477456800,-8.61971,-36.61315,18.295,82.460,17.962,15.213,17.843,87.743,32.742,15.803,0,0,comendo
1477457400,-8.61969,-36.61314,18.295,82.460,17.962,15.213,17.843,87.743,32.742,15.803,0,0,comendo
1477458000,-8.61970,-36.61312,18.176,82.517,17.748,15.106,17.796,88.040,33.157,15.809,0,0,comendo
1477458600,-8.61971,-36.61317,18.200,82.577,17.891,15.140,17.819,87.903,32.562,15.808,0,0,andando
1477459200,-8.61967,-36.61317,18.200,82.577,17.891,15.140,17.819,87.903,32.562,15.808,0,1,ocio
1477459800,-8.61971,-36.61314,18.152,82.594,17.796,15.096,17.867,87.772,32.536,15.832,0,1,ocio
1477460400,-8.61959,-36.61296,18.105,82.639,17.605,15.057,17.701,88.159,33.261,15.737,0,0,ruminando
1477461000,-8.61954,-36.61308,18.105,82.639,17.605,15.057,17.701,88.159,33.261,15.737,0,0,ocio
1477461600,-8.61966,-36.61312,18.057,82.795,17.463,15.037,17.629,88.614,33.495,15.747,0,1,ocio
1477462200,-8.61965,-36.61309,17.915,82.956,17.296,14.924,17.463,88.949,33.548,15.641,0,0,comendo
1477462800,-8.61965,-36.61308,18.105,82.639,17.605,15.057,17.701,88.159,33.261,15.737,0,0,comendo
1477463400,-8.61965,-36.61307,17.819,83.018,17.153,14.841,17.439,89.318,33.365,15.683,0,0,bebendo
1477464000,-8.61968,-36.61311,17.891,83.061,17.439,14.919,17.534,89.528,33.417,15.813,0,0,comendo
1477464600,-8.61966,-36.61311,17.891,83.061,17.439,14.919,17.534,89.528,33.417,15.813,0,0,comendo
1477465200,-8.61962,-36.61308,17.962,83.077,17.510,14.992,17.510,89.569,34.255,15.797,0,0,comendo
1477465800,-8.61966,-36.61311,17.962,83.050,17.558,14.987,17.653,89.744,34.492,15.969,0,0,comendo
1477466400,-8.61967,-36.61308,17.962,83.050,17.558,14.987,17.653,89.744,34.492,15.969,0,0,comendo
1477467000,-8.61966,-36.61310,18.033,83.093,17.605,15.064,17.701,89.826,33.678,16.030,1,0,ocio
