data_vaca;tbs;ur;tgn;tpo
10/15/16 11h59min7s;22.369;66.863;22.369;16.104
10/16/16 12h14min7s;22.321;67.093;22.321;16.110
10/16/16 12h29min7s;22.274;67.144;22.274;16.076
10/16/16 12h44min7s;22.202;67.340;22.202;16.050
10/16/16 12h59min7s;22.154;67.600;22.154;16.062
10/16/16 01h14min7s;22.130;67.922;22.130;16.110
10/16/16 01h29min7s;22.106;68.096;22.106;16.125
10/16/16 01h44min7s;22.082;68.181;22.058;16.120
10/16/16 01h59min7s;22.058;68.385;22.034;16.142
10/16/16 02h14min7s;22.034;68.677;22.034;16.182
10/16/16 02h29min7s;22.034;69.091;22.011;16.271
10/16/16 02h44min7s;21.987;69.290;22.011;16.268
10/16/16 02h59min7s;21.939;69.310;21.939;16.226
10/16/16 03h14min7s;21.819;69.348;21.843;16.120
10/16/16 03h29min7s;21.748;69.482;21.748;16.080
10/16/16 03h44min7s;21.724;69.684;21.724;16.100
10/16/16 03h59min7s;21.700;69.916;21.724;16.126
10/16/16 04h14min7s;21.700;70.151;21.724;16.176
10/16/16 04h29min7s;21.652;70.201;21.676;16.140
10/16/16 04h44min7s;21.581;70.276;21.581;16.087
10/16/16 04h59min7s;21.509;70.322;21.509;16.028
10/16/16 05h14min7s;21.437;70.455;21.437;15.987
10/16/16 05h29min7s;21.390;70.593;21.413;15.970
10/16/16 05h44min7s;21.390;70.681;21.390;15.988
10/16/16 05h59min7s;21.390;70.887;21.413;16.031
10/16/16 06h14min7s;21.461;71.047;21.461;16.133
10/16/16 06h29min7s;21.557;71.241;21.557;16.265
10/16/16 06h44min7s;21.724;71.301;21.700;16.439
10/16/16 06h59min7s;21.819;71.202;21.795;16.510
10/16/16 07h14min7s;21.891;71.098;21.891;16.558
10/16/16 07h29min7s;22.058;71.100;22.034;16.719
10/16/16 07h44min7s;22.321;70.973;22.298;16.946
10/16/16 07h59min7s;22.609;70.615;22.561;17.147
10/16/16 08h14min7s;22.896;70.048;22.848;17.303
10/16/16 08h29min7s;23.232;69.547;23.256;17.519
10/16/16 08h44min7s;23.448;68.814;23.424;17.567
10/16/16 08h59min7s;23.665;68.675;23.785;17.744
10/16/16 09h14min7s;24.026;67.604;24.146;17.853
10/16/16 09h29min7s;26.329;56.553;;17.309
10/16/16 09h44min7s;27.579;53.992;;17.757
10/16/16 09h59min7s;27.850;52.154;;17.470
10/16/16 10h14min7s;28.345;51.485;;17.726
10/16/16 10h29min7s;29.941;54.516;;20.102
10/16/16 10h44min7s;34.124;40.528;;19.169
10/16/16 10h59min7s;33.495;40.663;;18.662
10/16/16 11h14min7s;33.157;41.732;;18.776
10/16/16 11h29min7s;33.548;41.808;;19.155
10/16/16 11h44min7s;35.529;34.966;;18.020
10/16/16 11h59min7s;37.838;34.040;;19.599
10/16/16 12h14min7s;37.288;32.712;;18.466
10/16/16 12h29min7s;41.443;30.617;;20.951
10/16/16 12h44min7s;41.972;27.193;;19.409
10/16/16 12h59min7s;41.443;25.197;;17.691
10/16/16 01h14min7s;40.314;27.779;;18.364
10/16/16 01h29min7s;38.896;31.668;;19.323
10/16/16 01h44min7s;39.290;31.072;;19.348
10/16/16 01h59min7s;39.772;30.131;;19.251
10/16/16 02h14min7s;38.060;28.664;;16.965
10/16/16 02h29min7s;37.508;32.176;;18.386
10/16/16 02h44min7s;36.933;30.774;;17.161
10/16/16 02h59min7s;36.119;32.231;;17.212
10/16/16 03h14min7s;36.796;33.153;;18.259
10/16/16 03h29min7s;36.498;32.263;;17.556
10/16/16 03h44min7s;35.823;32.620;;17.150
10/16/16 03h59min7s;35.797;32.652;;17.143
10/16/16 04h14min7s;34.916;34.327;;17.186
10/16/16 04h29min7s;29.991;42.843;;16.348
10/16/16 04h44min7s;27.628;49.883;36.362;16.574
10/16/16 04h59min7s;26.036;51.843;29.340;15.701
