timestamp_pasto;tbs;ur;tgn;tpo
1476586747;22369;66863;22369;16104
1476587647;22321;67093;22321;16110
1476588547;22274;67144;22274;16076
1476589447;22202;67340;22202;16050
1476590347;22154;67600;22154;16062
1476591247;22130;67922;22130;16110
1476592147;22106;68096;22106;16125
1476593047;22082;68181;22058;16120
1476593947;22058;68385;22034;16142
1476594847;22034;68677;22034;16182
1476595747;22034;69091;22011;16271
1476596647;21987;69290;22011;16268
1476597547;21939;69310;21939;16226
1476598447;21819;69348;21843;16120
1476599347;21748;69482;21748;16080
1476600247;21724;69684;21724;16100
1476601147;21700;69916;21724;16126
1476602047;21700;70151;21724;16176
1476602947;21652;70201;21676;16140
1476603847;21581;70276;21581;16087
1476604747;21509;70322;21509;16028
1476605647;21437;70455;21437;15987
1476606547;21390;70593;21413;15970
1476607447;21390;70681;21390;15988
1476608347;21390;70887;21413;16031
1476609247;21461;71047;21461;16133
1476610147;21557;71241;21557;16265
1476611047;21724;71301;21700;16439
1476611947;21819;71202;21795;16510
1476612847;21891;71098;21891;16558
1476613747;22058;71100;22034;16719
1476614647;22321;70973;22298;16946
1476615547;22609;70615;22561;17147
1476616447;22896;70048;22848;17303
1476617347;23232;69547;23256;17519
1476618247;23448;68814;23424;17567
1476619147;23665;68675;23785;17744
1476620047;24026;67604;24146;17853
1476620947;26329;56553;-;17309
1476621847;27579;53992;-;17757
1476622747;27850;52154;-;17470
1476623647;28345;51485;-;17726
1476624547;29941;54516;-;20102
1476625447;34124;40528;-;19169
1476626347;33495;40663;-;18662
1476627247;33157;41732;-;18776
1476628147;33548;41808;-;19155
1476629047;35529;34966;-;18020
1476629947;37838;34040;-;19599
1476630847;37288;32712;-;18466
1476631747;41443;30617;-;20951
1476632647;41972;27193;-;19409
1476633547;41443;25197;-;17691
1476634447;40314;27779;-;18364
1476635347;38896;31668;-;19323
1476636247;39290;31072;-;19348
1476637147;39772;30131;-;19251
1476638047;38060;28664;-;16965
1476638947;37508;32176;-;18386
1476639847;36933;30774;-;17161
1476640747;36119;32231;-;17212
1476641647;36796;33153;-;18259
1476642547;36498;32263;-;17556
1476643447;35823;32620;-;17150
1476644347;35797;32652;-;17143
1476645247;34916;34327;-;17186
1476646147;29991;42843;-;16348
1476647047;27628;49883;36362;16574
1476647947;26036;51843;29340;15701
1476648847;24798;53821;25744;15126
1476649747;23569;55959;24532;14570
1476650647;23016;58292;28866;14666
1476651547;22537;61098;24702;14919
1476652447;22178;63738;21461;15210
1476653347;21795;65656;20889;15286
1476654247;21461;66822;20531;15228
1476655147;21103;68419;19912;15234
1476656047;20817;70398;19532;15379
1476656947;20507;72064;19246;15423
1476657847;20198;72150;18937;15141
1476658747;20007;73099;18818;15148
1476659647;20007;73937;19199;15314
1476660547;20055;73976;19413;15367
1476661447;19936;73837;19056;15225
1476662347;19865;74600;19175;15305
1476663247;19674;75681;18818;15329
1476664147;19318;76295;18200;15099
1476665047;19413;76770;18937;15281
1476665947;19294;76490;18628;15113
1476666847;19151;76717;18414;15017
1476667747;19127;76797;18485;15009
1476668647;19032;77374;18319;15024
1476669547;18937;77525;18295;14959
1476670447;18699;77900;17796;14797
1476671347;18461;78527;17415;14680
1476672247;18366;78592;17582;14599
1476673147;18390;78850;17891;14669
1476674047;18129;78992;17296;14439
1476674947;17986;79494;18057;14390
1476675847;17986;79970;18461;14475
1476676747;18081;80186;18509;14606
1476677647;18010;80478;17391;14588
1476678547;17796;80655;17011;14410
1476679447;17724;80807;16892;14366
1476680347;17558;81049;16677;14246
1476681247;17605;81170;16820;14313
1476682147;17463;81361;16630;14207
1476683047;17344;81640;16487;14138
1476683947;17225;81752;16368;14041
1476684847;17130;81925;16320;13978
1476685747;17320;82161;16654;14205
1476686647;17344;82276;16701;14248
1476687547;17486;82363;16963;14403
1476688447;17510;82424;16868;14436
1476689347;17510;82479;16963;14446
1476690247;17653;82539;17106;14596
1476691147;17510;82535;16749;14455
1476692047;17344;82580;16654;14300
1476692947;17510;82645;18390;14474
1476693847;18129;82506;19817;15057
1476694747;18794;82265;22729;15669
1476695647;18723;81665;19674;15495
1476696547;19103;81442;21581;15828
1476697447;19746;80826;24798;16348
1476698347;20936;77768;27431;16952
1476699247;22034;73755;28717;17239
1476700147;22920;69460;29916;17201
1476701047;23232;65063;28766;16519
1476701947;23857;63231;30798;16684
1476702847;24050;62654;30343;16728
1476703747;24532;60221;30697;16584
1476704647;25234;58694;32458;16853
1476705547;25890;55549;33157;16624
1476706447;26426;54367;33521;16793
1476707347;26842;53952;34150;17061
1476708247;27284;52586;34889;17074
1476709147;27727;50890;36173;16975
1476710047;28196;52966;36525;18031
1476710947;28369;52416;37563;18028
1476711847;28642;50852;38532;17807
1476712747;28941;49700;38004;17722
1476713647;29315;48714;38812;17751
1476714547;29265;47605;38644;17344
1476715447;29790;46627;41766;17497
