data_abrigo;tbs;ur;tgn;tpo
10/16/2016 00:6:9;22274;66062;26769;15652
10/16/2016 00:21:9;22250;66347;26695;15696
10/16/2016 00:36:9;22178;66565;26695;15679
10/16/2016 00:51:9;22106;66927;26598;15696
10/16/2016 01:6:9;22058;67292;26573;15735
10/16/2016 01:21:9;22034;67689;26524;15805
10/16/2016 01:36:9;22011;67827;26573;15814
10/16/2016 01:51:9;21987;68052;26524;15843
10/16/2016 02:6:9;21939;68385;26524;15874
10/16/2016 02:21:9;21915;68722;26475;15928
10/16/2016 02:36:9;21891;69057;26524;15981
10/16/2016 02:51:9;21891;69284;26524;16032
10/16/2016 03:6:9;21795;69295;26402;15944
10/16/2016 03:21:9;21700;69419;26280;15880
10/16/2016 03:36:9;21652;69692;26256;15896
10/16/2016 03:51:9;21604;69936;26207;15905
10/16/2016 04:6:9;21604;70245;26256;15974
10/16/2016 04:21:9;21604;70441;26231;16018
10/16/2016 04:36:9;21509;70480;26256;15935
10/16/2016 04:51:9;21461;70527;26158;15899
10/16/2016 05:6:9;21390;70681;26207;15865
10/16/2016 05:21:9;21318;70891;26182;15843
10/16/2016 05:36:9;21294;71054;26109;15856
10/16/2016 05:51:9;21437;72080;26182;16218
10/16/2016 06:6:9;21581;71580;26256;16247
10/16/2016 06:21:9;21604;71390;26207;16228
10/16/2016 06:36:9;21652;71371;26231;16269
10/16/2016 06:51:9;21724;71357;26280;16335
10/16/2016 07:6:9;21772;71338;26280;16377
10/16/2016 07:21:9;21819;71458;26426;16449
10/16/2016 07:36:9;22011;71717;26500;16690
10/16/2016 07:51:9;22274;71599;26769;16917
10/16/2016 08:6:9;22561;71262;26965;17118
10/16/2016 08:21:9;22872;70788;27112;17311
10/16/2016 08:36:9;23184;69915;27161;17413
10/16/2016 08:51:9;23400;69216;27407;17461
10/16/2016 09:6:9;23713;69102;27530;17733
10/16/2016 09:21:9;24653;65712;28122;17830
10/16/2016 09:36:9;26036;59438;28941;17541
10/16/2016 09:51:9;26598;57426;29140;17520
10/16/2016 10:6:9;26916;55631;29414;17313
10/16/2016 10:21:9;27284;54833;29715;17426
10/16/2016 10:36:9;29040;59803;30874;20456
10/16/2016 10:51:9;31382;50823;32304;19993
10/16/2016 11:6:9;31919;47257;32717;19310
10/16/2016 11:21:9;32098;46978;32717;19378
10/16/2016 11:36:9;33600;40166;33783;18218
10/16/2016 11:51:9;35075;33963;34704;16857
10/16/2016 12:6:9;39403;32459;37453;19892
10/16/2016 12:21:9;40631;33074;38365;21260
10/16/2016 12:36:9;42031;26857;39065;19084
10/16/2016 12:51:9;41385;25646;38812;17803
10/16/2016 13:6:9;40171;26049;37866;17031
10/16/2016 13:21:9;39149;27506;37398;17028
10/16/2016 13:36:9;39431;29896;37535;18594
10/16/2016 13:51:9;39829;30112;37838;19049
10/16/2016 14:6:9;39886;27858;37728;17854
10/16/2016 14:21:9;38700;26804;36851;16240
10/16/2016 14:36:9;37866;28004;36335;16222
10/16/2016 14:51:9;36960;28526;35904;15740
10/16/2016 15:6:9;36579;29781;35662;16089
10/16/2016 15:21:9;36688;29277;35716;15914
10/16/2016 15:36:9;36119;29708;35155;15657
10/16/2016 15:51:9;35797;29683;35288;15366
